gene,centrality_inv,kegg_inv,tau_pct,skin_top_inv,skin_z_pct,loeuf_pct,canonical,composite,cluster
RHOA,0.751937984496124,0.20155038759689925,0.0546875,0.36220472440944884,0.49606299212598426,0.6356589147286822,False,0.4170170838928564,2
MAP4K2,0.8527131782945736,0.9147286821705426,0.4609375,0.06692913385826771,0.14960629921259844,0.6511627906976745,False,0.5160129307056095,3
HRAS,0.20155038759689925,0.03875968992248058,0.140625,0.9566929133858267,0.8976377952755905,0.7596899224806202,True,0.49915928477690286,4
JUN,0.13953488372093026,0.11240310077519378,0.171875,0.7598425196850394,0.84251968503937,0.7984496124031008,False,0.4707708002706057,4
TNFRSF1A,0.015503875968992276,0.25193798449612403,0.1484375,0.36220472440944884,0.6062992125984252,0.15503875968992248,False,0.25657034286048547,4
HGF,0.937984496124031,0.5155038759689923,0.7421875,0.09448818897637801,0.047244094488188976,0.17054263565891473,True,0.4179917985360841,3
MET,0.31007751937984496,0.3798449612403101,0.6171875,0.6299212598425197,0.6692913385826772,0.25193798449612403,False,0.476376760590246,4
TNF,0.023255813953488413,0.09302325581395354,0.9609375,0.8070866141732284,0.6220472440944882,0.4883720930232558,False,0.4991204201764024,4
CSF2,0.4263565891472868,0.5387596899224807,1.0,0.4645669291338582,0.2204724409448819,0.5038759689922481,False,0.5256719363567927,2
IL1R1,0.4728682170542635,0.5658914728682171,0.546875,0.5708661417322834,0.5984251968503937,0.5116279069767442,False,0.5444256559136503,2
NGF,0.5736434108527132,0.6434108527131783,0.7109375,0.16141732283464572,0.11023622047244094,0.5271317829457365,False,0.45446284830311906,3
NTRK1,0.5813953488372092,0.6007751937984496,0.7734375,0.007874015748031482,0.023622047244094488,0.6201550387596899,False,0.43454319073124575,3
IL6,0.6046511627906976,0.13953488372093026,0.8125,0.32677165354330706,0.2677165354330709,0.6821705426356589,True,0.4722241296872774,3
IL6R,0.5426356589147288,0.5775193798449613,0.5859375,0.3110236220472441,0.3700787401574803,0.7054263565891473,False,0.5154368762589269,3
IL12A,0.7751937984496124,0.3798449612403101,0.8046875,0.03149606299212604,0.03937007874015748,0.7131782945736435,False,0.4572951159993082,3
IL10,0.8255813953488372,0.41860465116279066,0.90625,0.13779527559055116,0.13385826771653545,0.8062015503875969,False,0.5380485233677187,3
